ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
659,,"(of feathers, leaves, &c","butanĩria, caus. app.; ~ gĩkonde na njoya, tear the skin while plucking ! feathers. butithia, d. caus. butika, | st. pot. butĩra, app. butũra, conv. | I1. pluck out (feathers, leaves, &c.) | entirely. 2. make barefaced, bold, | shameless, immodest. butũka, neut. | x1. (of feathers, leaves, &c.) come off. | 2. be barefaced, shameless, bold, be | lacking in, modesty, good manners; cf. aga rũbutu. butũkira, app. neut. lose feathers, leaves, at; be shameless towards sb., behave immodestly at."
660,,REFERENCE,"buta?, see bata?.,"
662,captain.,captain,"kabuteni [kabuteeni], ta-, n. with cl. 1/2 concords (111), captain. [E.]"
663,"a foot, foot-rule.","a foot, foot-rule","buti [buuti], ~ / biti, n. cl. 9/10 (1), a foot, foot-rule. [E.]"
664,piecework,"measured task (esp. a labourer’s task), piecework","ibuti [ibuuti], ma-, n. (1) measured task (esp. a labourer’s task), piecework; (of firewood) a stack (of standard measurement); cf. mhando. [E. Foort]"
665,"rain-coat, over-coat, great-coat.","rain-coat, over-coat, great-coat","kabuti [kabuuti], n. (1), rain-coat, over-coat, great-coat. [Sw. KABUTI]"
667,1. outer covering,outer covering,"mabuto, n. cl. 6 only (1), 1. outer covering; mbembe cia ~, green maize cobs roasted with outer sheaths. 2. outer coverings that have been removed (chicken feathers, &c.)."
669,,"like a flash, in an","butu, ideo. (1/11), like a flash, in an"
670,,"instant, in the twinkling of an eye","instant, in the twinkling of an eye; cf. rĩbutu. butubutu-butubutu, ideo. descr. of fluttering, flapping; cf. baribari."
671,1. involuntary twitch of eyelids,involuntary twitch of eyelids,"kĩbutu, i-, n. (vii), 1. involuntary twitch of eyelids; cf. 2. shameless, brazen, fellow. rũbutu, mbutu, n. eyelash; ũtari ~, person lacking in manners, shameless; una mbutu, keep oneself under control, show politeness; aga ~, be shameless, disobedient; cf. aga thoni. [buta?]"
676,"cow of ash-grey colour. kĩbuthi, i-, n. with cl. 9/10 concords, ox or bull of this colour",ox or bull of this colour,"buthi | mbuthi, ~, n. (111), cow of ash-grey colour. kĩbuthi, i-, n. with cl. 9/10 concords, ox or bull of this colour; cf. kĩbuu."
677,nonsense.,nonsense,"ũbuthi!: [ũbuuthi], mobuthi [mo0buuthi], n. (1x), nonsense. [Sw. Uruz}"
682,"n. (11), rottenness",rottenness,"ũbuthu, (mobuthu [moobuthu]}), n. (11), rottenness; rot. [butha]"
683,descr. of,great speed like that of a motor-car or train,"buu, ideo. (U), descr. of: 1. great speed like that of a motor-car or train. 2. being hurried away into space."
684,female goat of ash-grey colour,"he-goat of ash-grey colour. mũbuu, n. cl","buu | mbuu, ~, n. (vi1), female goat of ash-grey colour; cf. buthi. kĩbuu, i-, n. 1. light-blue beads. 2. (with cl. 9/10 concords) he-goat of ash-grey colour. mũbuu, n. cl. 3; cinma cia ~, grey or light-blue beads."
685,"grey, of ash-grey colour.","grey, of ash-grey colour","-buu, a. (v11), grey, of ash-grey colour."
686,"1. dig vigorously, dig thoroughly","dig vigorously, dig thoroughly","buuka, v.t. & i. (1), 1. dig vigorously, dig thoroughly; cf. bukĩra. 2. be in violent rage; (of a bull) be spoiling for a fight; quarrel without reason; rampage; mũrekie atige unhand him and let us fight so that his ardour may cool; cf. bucuna, tuuta. 3. tuck in, gobble, eat sth. in presence of others without sharing. buukabuuka, dim. dig, cultivate a little or a bit of a piece of land. buukanga, diff. buukana, rec. fight each other vigorously (esp. with bare hands or fists); cf. tuukana. buukanira, rec. app. buukia, caus. buukithia, d. caus. buukĩka, st. pot. buukira, app."
687,n.,precircumcision dance,"kabuuki, (tũ-), n. (1), precircumcision dance. [buuka]"
688,,REFERENCE,"(ka) (kĩ) buuri, see mbuuri."
689,"1. depose, put out of office, dismiss from employment. 2. erase, rub out","depose, put out of office, dismiss from employment","buuta!, v.t. (1), 1. depose, put out of office, dismiss from employment. 2. erase, rub out; cf. tharia', kurura. buutabuvuta, dim. buutanga, diff. buutana, rec.; ni inyu? mwa~, you are responsible for your dismissals. buutithia, d. caus. cause sb. to be dismissed from a job; help sb. to erase sth., get sth. erased. buutĩka, st. pot. buutĩra, app. dismiss, for, at; erase, at, for. [Sw. FUTA]"
690,,REFERENCE,"buuta?, see guta."
691,breast-bone (sternum) of a bird.,breast-bone (sternum) of a bird,"kĩbuutu, i-, n. (1mm), breast-bone (sternum) of a bird. kabuutu, tũ-, n. dim. of above."
692,"rub (dry banana bark to make tinder, &c.)","rub (dry banana bark to make tinder, &c","buutha, v.t. (1), rub (dry banana bark to make tinder, &c.); fray out (sisal fibre in the brushing process); break down (string into a mass of tow); cf. tandura, kumutha. ĩbuutha, refl.; ~ ndaka, rub dry mud off one’s body after a ‘mud-bath’ (with a handful of tree or banana bark fibre); cf. ĩnyutha. buuthabuutha, dim. buuthanga, diff. buuthithia, d. caus. buuthĩka, st. pot. be, become frayed out, be reduced to shreds or mass of fibre; be a nuisance. buuthira, app. buuthũra, conv. used inten. rbuuthũra, refi. rub sth. off oneself (e.g. dry mud, pigment). buuthũrira, app. conv. buuthũka, neut. be, become, frayed out, threadbare; cf. uma mbuutha."
694,,"remove skin, hair, feathers, by scalding with hot water","buya, v.t. (1) remove skin, hair, feathers, by scalding with hot water; pluck wool, hair, feathers; cf. buta!. buyabuya, dim. buyanga, diff. buyana, rec. buyanĩra, app. rec. Þbuyithia, d. caus. buyika, st. pot. buyira, app."
695,see hũa.,see hũa,"bũa (N.K.), see hũa."
696,1. peel of sugar-cane chipped off before eating. 2. solder in flake form,peel of sugar-cane chipped off before eating,"rũbũa! [rnũbũwa], mbũna, n. (11), 1. peel of sugar-cane chipped off before eating. 2. solder in flake form; cf. ngocorai. 3. bee’s sting left in skin."
697,see rũhũa under ihũa.,see rũhũa under ihũa,"rũbũa? (N.xK.), see rũhũa under ihũa."
699,,REFERENCE,"kibũbũi, see kĩboboi. (ka-) (kĩ) bũbũi, see under mbũmbũi."
700,(N.K.) Candelabra euphorbia and other spp.,() Candelabra euphorbia and other spp,"mũbũbũng’i / mũbubungi, mi-; kibũbũng/’i, i-; n. (1), (N.K.) Candelabra euphorbia and other spp.; cf. [cf. Ma."
701,"drink greedily, take a long draught, drink a great quantity of",(of a drink) be capable of being taken in large quantities,"bũbũta / bũbũta v.t. (1), drink greedily, take a long draught, drink a great quantity of; cf. hũmbũta, gũgũta. bũbgũtanga, diff. nira, app. rec. d. caus. make drink greedily, make drink much of. bũbũtĩka, st. pot. 1. (of a drink) be capable of being taken in large quantities. 2. (of a drunk person) wander, talk, aimlessly; cf. gũgũtĩka. bũbũtĩra, app. drink greedily at, from, because of."
705,"crazy, senseless, person. ũbũgi, n. cl. 14 only, craziness",craziness,"mũbũgi, a-, n. (111), crazy, senseless, person. ũbũgi, n. cl. 14 only, craziness; wandering, senseless, talk. [bũga]"
706,"mental derangement caused by departed spirits, craziness",person suffering from mental derangement,"rũbũgi, mbnũgi; ũbũgi, mobũgĩ [moobũgi]; n. (11), mental derangement caused by departed spirits, craziness; cf, rũbũgũ, mbũgũgũ, matamba, mbũa, ngoma. (ka-), n. spirits causing mental derangement. wakabũgi, n. cl. 1, person suffering from mental derangement; aa~, people mentally deranged. [bũga]"
707,"1. restlessness. 2. craziness, daftness, lunacy",restlessness,"mũbũgo, mĩ-, n. (111), 1. restlessness. 2. craziness, daftness, lunacy; ~ wĩ naguo, that mad idea of yours. [bũga]"
708,,diviner’s counter. 2,"mũbũgũ, mĩ-, n. (1v) a tree. mbũgũ!, ~, n. fruit of above tree, used in divination; ~ ĩrĩ gũkĩa, the oracle is now plain. mbũgũ?, n. diviners counter. kibũgũ, i-, n. 1. diviner’s counter. 2. (of football score) nil."
709,"wandering, meaningless",craziness,"-bũgũ, a. (1x), wandering, meaningless ; mĩ- ~, delirious talk. [bũga] mbũgũ?, n. (1v), 1. craziness; rambling, senseless, talk; spirit possession, insanity. 2. the spirits. cf. robũgĩ, mbũrĩ. [bũga]"
710,"1. roam about, wander about (as one suffering from loss of memory), loaf","roam about, wander about (as one suffering from loss of memory), loaf","bggũga [bũgũga], v.i. (11), 1. roam about, wander about (as one suffering from loss of memory), loaf; act irresponsibly (like sb. mental). 2. speak like one who is crazy; cf. hũgũga. bnũgabũgũga, dim. bũgũganga, diff. bnũgũgania, caus. rec. bũgũgia, caus. 1. make sb. a loafer or delinquent. 2. cause to be weak in intellect, make irresponsible. bũgũgithia, d. caus. I. encourage, incite sb. to roam about. 2. cause to be irresponsible. st. pot. wander about; become irresponsible. bũgũgira, app."
711,"I1. one suffering from loss of memory, one who is not right in his mind. 2. vagrant","one suffering from loss of memory, one who is not right in his mind","mũbũgũgi [mũbũgũgi], a-, n. (111), I1. one suffering from loss of memory, one who is not right in his mind. 2. vagrant; one seeking to commit a crime; cf. bũbũgi [moobũbũgi]), n. Ii, wanderlust. 2. delinquency. 3. amnesia; cf. hũgũgi. [bũga]"
712,,"cloud, column, of smoke","ibũi, ma-, n. (111); ~ rĩa ndogo, cloud, column, of smoke."
713,the Ambũi clan,Mbũi,"Kĩbũi!, n. (11), the Ambũi clan; cf. Mbũi."
715,1. the shaft of an arrow without an arrow-head,the shaft of an arrow without an arrow-head,"kĩbnikũ, i-, n. (11), 1. the shaft of an arrow without an arrow-head; cf. kĩrano. 2. a boy overdue for circumcision; ikta na ~, use the evil potency of an uncircumcised boy to bewitch sb. kabũikũ, tũ-, n. name given to sb. who travels a long distance."
716,(of boy candidates for circumcision as they move round singly or in groups after making staves) perform dances and songs of a special nature,"boiya, v.i. (1), (of boy candidates for circumcision as they move round singly or in groups after making staves) perform dances and songs of a special nature","bũiya / baiya / (N.K.) boiya, v.i. (1), (of boy candidates for circumcision as they move round singly or in groups after making staves) perform dances and songs of a special nature; cf. ũmbũra, tuuma, hĩra. bũiyanira, assoc, bũiyithia, d. caus. bũiyira, app."
718,,REFERENCE,"mabũiya, see mabũya."
720,(N.K.) a vigorous cultivator,() a vigorous cultivator,"kibũka [kĩbũka], i-, n. (1), (N.K.) a vigorous cultivator; cf. nduuki."
721,(N.K.) staff decorated with colobus-monkey fur provided for a neophyte to throw over the tree on the day preceding circumcision,() staff decorated with colobus-monkey fur provided for a neophyte to throw over the tree on the day preceding circumcision,"kabũkũ, see mbũkũ. tũ-, n. (v), (N.K.) staff decorated with colobus-monkey fur provided for a neophyte to throw over the tree on the day preceding circumcision; cf. ndorothi."
722,,REFERENCE,"mũbũng’'ũnsg’i, see mũbũbũng/’i."
723,I.,"migraine, pain in the forehead, headache","bũra [bnũra], n. cl. 14 only (11), I. migraine, pain in the forehead, headache. 2. margin of a river, shallow water at the brink."
724,,REFERENCE,"kĩbũra, see under mbũra."
725,,REFERENCE,"ũbũra-matn, see under matũ."
726,1. variety of sweet potato with red skin,variety of sweet potato with red skin,"kĩbũri!, i-; nyakĩbũri, ~; n. (VII), 1. variety of sweet potato with red skin; see ngwaci. 2. red purple bean of kidney type (Canadian Wonder)."
727,,REFERENCE,"(ka-) bũri?, see under mbũri."
728,a kind of armlet. ma-,a kind of armlet,"mũbũri mi-, n. (1), a kind of armlet. ma-; (N.K.) rũbũrũ, (mbũrũ); kĩbũrũ, i-; n. (1x), (of earth, turf) clod, sod; cf. ikĩngĩa, thũi, ngũbũri, i-, n. (v), Adam’s apple; cf. ngnmba."
730,"1. country, region","country, region","bũrũri, ma-, n. cl. 14/6 (11), 1. country, region; continent. 2, people of a country or district; community, country-side; cf. kĩrrĩndĩ. [cf. Ma. oL- POROR]"
731,vote.,vote,"bũta [bũta], v.i. (1), vote. [E.]"
734,"v.i. (1), (of food, crops) be plentiful, be abundant",v,"(bũthara [bũthara]), v.i. (1), (of food, crops) be plentiful, be abundant; see bũthi. bũtharia, caus. make plentiful. bũthũra, conv. cause a shortage (of food); damage a food vessel so that the contents escape. bũthũka, neut. r. cease to have abundance of food; (of vessels, gourd, honey-bag, oil-tin, &c.) be, become, holed so that the contents are lost. 2. be, become, plentiful, abundant."
736,small tree (Fagara usambarensis) (the bark is used to prepare a cough mixture),"seed of above, used as a piece in the African draughts game","mũbũthr? | mũcũthi, mi-, n. (1), small tree (Fagara usambarensis) (the bark is used to prepare a cough mixture); cf. mogncwa. mbũthi | ~, n. I1. seed of above, used as a piece in the African draughts game. 2. stone or sodom-apple used in this game; see Ũtha; cf. grũthi."
737,,REFERENCE,"(ka-) (ki-) bathũ, see mbũthũ."
738,red ochre rubbed on sb.’s skin in powdered form,red ochre rubbed on sb,"kĩbũ, i-, n. (vri), red ochre rubbed on sb.’s skin in powdered form; cf. kĩng’aarũ."
739,"n. cl. 14/6 (111), abundance, plenty, boom","abundance, plenty, boom","bũthi, (ma-), n. cl. 14/6 (111), abundance, plenty, boom; good crops; cf. (N.K.) hũni."
740,"rub on, sprinkle with, (dust, ashes, &c.)","rub on, sprinkle with, (dust, ashes, &c","bũya, v.t. (11), rub on, sprinkle with, (dust, ashes, &c.); cf. haka. rbũya, refi."
741,1. slovenliness,slovenliness,"mabũya / mabũiya | mabũyabũiya / mabũyabnya | maboyaboya, n. cl. 6 (11), 1. slovenliness; cf. mohũthia; see hunye. 2. (used adv.) in a careless, slipshod, way; casually, irresponsibly. [bũya]"
742,"be careless, irresponsible, undependable, slipshod, irresolute, bũyabũyanga, diff. bũyabũyana, rec. bũyabũyania, caus. rec. disorganize sth.","be careless, irresponsible, undependable, slipshod, irresolute, bũyabũyanga, diff","bũyabũya / bũabũa, v.i. (11), be careless, irresponsible, undependable, slipshod, irresolute, bũyabũyanga, diff. bũyabũyana, rec. bũyabũyania, caus. rec. disorganize sth.; do sth. carelessly, irresponsibly. bũyabũnyia, caus. make unstable, irresponsible. bũyabũyĩra, app."
743,water-bottle of European type for journeys.,water-bottle of European type for journeys,"kĩbũyũ, i-, n. (v), water-bottle of European type for journeys. [Sw. KIBUYU]"
744,baobab-tree.,baobab-tree,"mũbũyũ, mĩ-, n. (u), baobab-tree. [cf. Sw. MBUYU]"
746,"1. sir, mister, master, employer","sir, mister, master, employer","bwana, ma-, n. cl. 1/2 or 6 (1x), 1. sir, mister, master, employer; cf. bibi. 2. minister of religion (in the Protestant churches), reverend; cf. batiri, [Sw. BWANA]"
747,descr. of the voice of the jackal,of the voice of the jackal,"bwe, ideo. (U), descr. of the voice of the jackal; cf. mbwe, C"
748,,"of the sharp report of a gun, bang!","ca', ideo. (u) descr. of the sharp report of a gun, bang!; cf. tũrũ, tu. caa l caa-a-a | caaa, ideo. descr. of: r. a"
749,,f reverberating report,"f reverberating report. 2. sizzling, frying, fermentation of beer or gruel warming by the fire, &c."
750,"descr. of stabbing, pricking, piercing with a sharp instrument, spear, knife, thorn, awl, needle, porcupine quill, &c.","of stabbing, pricking, piercing with a sharp instrument, spear, knife, thorn, awl, needle, porcupine quill, &c","ca?, ideo. (u), descr. of stabbing, pricking, piercing with a sharp instrument, spear, knife, thorn, awl, needle, porcupine quill, &c.; gambia na ~? ~l ~!l, stab with a spear repeatedly."
751,,REFERENCE,"ca, see aca."
752,"n. (1v), 1. tattoo-mark on the face, esp. of young girls, consisting of patterns made by cutting the skin and rubbing in the sap of tree-spurge","tattoo-mark on the face, esp. of young girls, consisting of patterns made by cutting the skin and rubbing in the sap of tree-spurge","gĩca', (i-), n. (1v), 1. tattoo-mark on the face, esp. of young girls, consisting of patterns made by cutting the skin and rubbing in the sap of tree-spurge; see watha. 2. general name for decoration patterns on shields, aprons, or painted high on the cheeks with red ochre, lime, &c., during dances and festivals ; theca ~, decorate one’s face, trunk, and legs with several colours; umĩria ~, go to display one’s adornments; cf. gĩthongo."
