GLOBAL_INDEX,WORD,NOUN_CLASS,PAGE-COLUMN,FULL_ENTRY,FREQUENCY
4233,urugombeko,11|10,P119-C2,"urugombeko, in-, 11)20, (cfr -gambek-), remède magique contre les voleurs. || Kugenda nk'uwariye urugombeko, partir la queue entre les jambes, se retirer tête basse. — Au nord du pays, cette pratique se dìt urugombeko; au sud, ururembeko. Le devin asperge les cultures et y fiche des sachets contenant diverses poudres. Si un voleur avait l'audace de s'introduire dans les champs ainsi protégés, il y resterait pétrifié, ou, selon d'autres, il crèverait comme une bête, le ventre gonflé. Le propriétaire du champ luimême n'est pas protégé contre ce puissant épouvantail magique : il lui faut un antidote, procuré par le devin. Certains voleurs, d'ailleurs, peuvent piller impunément les cultures, grâce à ce même antidote. RobEGEM, Africa-Tervuren, XVI-1968-2. Prov. 3350.",1
4237,bigombo,9a|10a,P119-C2,"bigombo, zibigombo, 9lalla (préf. 8) (efr -gombo 7), pot en terre à trois ouvertures, à trois goulots (rumana) et parfois à deux anses employé dans les cérémonies rituelles du culte de Kiranga; ces pots n'étaient faits que sur commande.",1
4285,igonânwe,5|6,P120-C2,"igonânwe, ama-, 5jó, (cfr -gonānw-), scepticisme, inceréduliié.",1
4494,urugúha,11|10,P127-C2,"urugúha, in-, 11J10 ou ingúha 9l10, tique de vache, parasite du bétail,",1
4675,gushika,,P131-C2,"gushika, v. -shika. 131",1
4730,umukururàngwes,3RU|4RU,P133-C1,"umukururàngwes, imi, 3KUJSL4KU, (-rur- être amer, -gwe 9j10 léopard), espèce de liane de forêt, sans spécification.",1
4998,ihănga,9i|6,P142-C1,"ihănga, ama-, 55, 9il6, pays lointain, pays étranger. Kwômokera mu mahănga, s'exiler. Kwîrukanirwa mu mahănga, être forcé de s'expatrier. Prov. 1609, 1929, 2427.",1
5153,akăruhariwe,12RU|13RU,P146-C1,"akăruhariwe, utw-, 12RUJI3RU, (cfr -hárirw-), sans égal, incomparable. Mbona urí akăruhariwe mu gutêka!, je vois que tu es un cuisinier hors de pair. Umuhïinga w'akăruhariwe, un artiste de premier plan.",1
5238,igihe,7|8,P148-C2,"igihe, ibi, 7(8, moment, temps, instant. Syn. ikivi, amango, ubugingo. Aza gihe kí? quand est-ce qwil arrive? Ni gihe kí? quelle heure est-il? Igihe bariko barakóra, lorsqu'ils travaillaient. Ico gihe cītwá icí, cette période s'appelle la saison sèche. Mur’'îkí gihe, à ce moment là. Mur’îco gihe, pendant cette période, Amêzi atangána n'ây'igihe c'îzûba, elle ne dure pas autant de mois que la saison sèche. Mu bihe imvúra igwá, pendant lépoque des pluies.",1
5289,nyamihēëhe,9a|10,P149-C2,"nyamihēëhe, zānyamihēhe, 9ali0, hyène. Syn. imfyisi.",1
